architecture	1262976
cli	1262977
config	1262978
copy-and-search	1262979
floats	1262980
instances	1262981
isolation	1262982
keybindings	1262983
overlays	1262984
panes-and-tabs	1262985
pods	1262986
prompt	1262987
recording	1262988
session-manager	1262989
sessions	1262990
sprites	1262991
statusbar	1262992
